name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,ajio_url,platform
Buda Jeans Co Men Regular Fit Polo T-Shirt,Buda Jeans Co,Clothing,310,310,69,4.5,246,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-regular-fit-polo-t-shirt/p/702723511_blue?,ajio
Crazymonk PORSCHE-Men Typographic Print Oversized Fit Polo T-Shirt,Crazymonk,Clothing,540,540,73,4.5,36,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazymonk%20PORSC,https://www.ajio.com/crazymonk-porsche-men-typographic-print-oversized-fit-polo-t-shirt/p/701945511_black?,ajio
BABIRUSA Men Relaxed Fit Round-Neck T-Shirt,BABIRUSA,Clothing,169,169,83,4,32,https://dummyjson.com/image/400x400/282828/ffffff?text=BABIRUSA%20Men%20Re,https://www.ajio.com/babirusa-men-relaxed-fit-round-neck-t-shirt/p/702588303_grey?,ajio
Crazymonk Men Printed Oversized Fit Crew-Neck T-Shirt,Crazymonk,Clothing,540,540,73,4,311,https://dummyjson.com/image/400x400/282828/ffffff?text=Crazymonk%20Men%20P,https://www.ajio.com/crazymonk-men-printed-oversized-fit-crew-neck-t-shirt/p/703312105_multi?,ajio
NEONOMAD Men Printed Oversized Fit T-Shirt,NEONOMAD,Clothing,180,180,85,5,247,https://dummyjson.com/image/400x400/282828/ffffff?text=NEONOMAD%20Men%20Pr,https://www.ajio.com/neonomad-men-printed-oversized-fit-t-shirt/p/703001248_grey?,ajio
Buda Jeans Co Men Graphic Print Oversized Fit Round-Neck T-Shirt,Buda Jeans Co,Clothing,375,375,75,4,105,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-graphic-print-oversized-fit-round-neck-t-shirt/p/702404276_black?,ajio
TOGS & TERRE Women Typographic T-shirt,TOGS & TERRE,Clothing,285,285,81,4.5,239,https://dummyjson.com/image/400x400/282828/ffffff?text=TOGS%20%26%20TERRE%20Wo,https://www.ajio.com/togs--terre-women-typographic-t-shirt/p/700566333_brown?,ajio
TOGS & TERRE Men Typographic Loose Fit T-shirt,TOGS & TERRE,Clothing,285,285,81,4,370,https://dummyjson.com/image/400x400/282828/ffffff?text=TOGS%20%26%20TERRE%20Me,https://www.ajio.com/togs--terre-men-typographic-loose-fit-t-shirt/p/701493083_black?,ajio
DNMX Men Graphic Print Regular Fit T-Shirt,DNMX,Clothing,152,152,49,4.5,422,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Men%20Graphi,https://www.ajio.com/dnmx-men-graphic-print-regular-fit-t-shirt/p/443091584_ltpink?,ajio
DNMX Men Graphic Print Relaxed Fit Crew-Neck T-Shirt,DNMX,Clothing,120,120,70,4.5,64,https://dummyjson.com/image/400x400/282828/ffffff?text=DNMX%20Men%20Graphi,https://www.ajio.com/dnmx-men-graphic-print-relaxed-fit-crew-neck-t-shirt/p/443091687_grey?,ajio
